train/learning_rate,train/value_loss,time/fps,rollout/ep_rew_mean,train/entropy_loss,train/n_updates,rollout/ep_len_mean,time/time_elapsed,train/explained_variance,train/policy_loss,time/total_timesteps,time/iterations,eval/mean_reward,eval/mean_ep_length
0.0003,0.4041610360145569,794,3.71160375,-1.8673532009124756,99,30.5625,0,-0.3016258478164673,-1.2478067874908447,500,100,,
0.0003,0.028253521770238876,771,4.035972151515152,-1.4443080425262451,199,30.303030303030305,1,-1.3232147693634033,-0.30830204486846924,1000,200,,
0.0003,4.970945358276367,795,4.580759163636364,-0.6914514303207397,299,27.145454545454545,1,0.5036429762840271,0.690534234046936,1500,300,,
0.0003,0.07569976150989532,812,4.8922092500000005,-0.28974393010139465,399,24.9125,2,-9.46519660949707,0.008032558485865593,2000,400,,
0.0003,0.003266882849857211,823,5.11899142,-0.17782340943813324,499,23.56,3,-4.255089282989502,-0.00038571274490095675,2500,500,,
0.0003,0.001020894618704915,831,5.520856309999999,-0.12467749416828156,599,20.87,3,0.8111638724803925,-0.0005873641930520535,3000,600,,
0.0003,0.004867068026214838,832,5.586315900000001,-0.09126810729503632,699,19.88,4,0.6128837764263153,-0.0009127657976932824,3500,700,,
0.0003,0.0002525924064684659,839,5.592856270000001,-0.10142683982849121,799,19.58,4,0.8646468073129654,0.0002181547024520114,4000,800,,
0.0003,0.00025660591199994087,841,5.60098607,-0.08322739601135254,899,19.5,5,0.7589595466852188,8.306514791911468e-05,4500,900,,
0.0003,0.00013688897888641804,,,-0.09518398344516754,999,,,0.7180920243263245,7.344858022406697e-05,5000,,5.565009,18.0
,,837,5.6095069199999985,,,19.25,5,,,5000,1000,,
0.0003,0.00014954204380046576,838,5.612583089999999,-0.07027580589056015,1099,19.36,6,0.9070527777075768,-0.00010715537064243108,5500,1100,,
0.0003,0.024349531158804893,835,5.62406524,-0.06824720650911331,1199,19.66,7,0.6838943362236023,0.0012774436036124825,6000,1200,,
0.0003,8.213800902012736e-05,840,5.618824739999999,-0.053577639162540436,1299,19.53,7,0.9231541603803635,3.4864839108195156e-05,6500,1300,,
0.0003,0.001633295090869069,844,5.62394714,-0.051469337195158005,1399,19.68,8,0.9862968269735575,0.00023824689560569823,7000,1400,,
0.0003,0.0018310958985239267,848,5.62380154,-0.03624368831515312,1499,19.64,8,0.6101091206073761,-0.00018025444296654314,7500,1500,,
0.0003,0.00020578755356837064,851,5.6180688199999995,-0.034210193902254105,1599,19.47,9,-0.018925905227661133,-8.470029570162296e-06,8000,1600,,
