rollout/ep_len_mean,train/n_updates,time/iterations,time/total_timesteps,time/fps,train/explained_variance,rollout/ep_rew_mean,train/policy_loss,train/learning_rate,time/time_elapsed,train/entropy_loss,train/value_loss,eval/mean_reward,eval/mean_ep_length
23.476190476190474,99,100,500,501,-0.388946533203125,7.676190476190476,-11.309748649597168,0.0007,0,-1.8978214263916016,58.734046936035156,,
22.545454545454547,199,200,1000,511,-0.1452251672744751,7.679545454545456,-6.352634906768799,0.0007,1,-1.7584819793701172,74.58772277832031,,
21.63768115942029,299,300,1500,506,-0.05535125732421875,7.692753623188406,-22.35552978515625,0.0007,2,-1.570739984512329,159.87844848632812,,
20.060606060606062,399,400,2000,507,-0.13102447986602783,7.688888888888888,1.2190799713134766,0.0007,3,-1.4024417400360107,1.7996368408203125,,
18.15,499,500,2500,524,-0.0450056791305542,7.695999999999999,1.509940505027771,0.0007,4,-1.4329135417938232,0.9255293607711792,,
17.14,599,600,3000,512,-0.007138729095458984,7.699999999999999,-22.671741485595703,0.0007,5,-1.322629690170288,288.2857971191406,,
16.76,699,700,3500,514,-0.0014113187789916992,7.707999999999998,-34.94142532348633,0.0007,6,-1.1369431018829346,544.3471069335938,,
16.37,799,800,4000,516,-0.002511262893676758,7.723000000000001,-10.418895721435547,0.0007,7,-1.0514298677444458,269.0170593261719,,
15.54,899,900,4500,504,-0.0003553628921508789,7.723,0.40610018372535706,0.0007,8,-0.8798376321792603,1.0894609689712524,,
,999,,5000,,-0.010331869125366211,,0.48437944054603577,0.0007,,-0.9476460218429565,0.334687203168869,7.8,13.0
15.34,,1000,5000,511,,7.756,,,9,,,,
15.14,1099,1100,5500,507,-0.0004074573516845703,7.7509999999999994,-2.1548266410827637,0.0007,10,-0.8217857480049133,190.20179748535156,,
14.76,1199,1200,6000,514,-0.005666017532348633,7.749,0.19673646986484528,0.0007,11,-0.6491497755050659,0.7989538908004761,,
14.0,1299,1300,6500,514,-0.0001590251922607422,7.755999999999999,-0.5919815301895142,0.0007,12,-0.40309810638427734,223.4430389404297,,
13.44,1399,1400,7000,515,-0.00020205974578857422,7.763999999999998,-0.5527849793434143,0.0007,13,-0.15933260321617126,691.0191650390625,,
13.23,1499,1500,7500,521,-0.0028780698776245117,7.767999999999997,0.016999471932649612,0.0007,14,-0.12611672282218933,0.6074378490447998,,
13.07,1599,1600,8000,527,-3.4332275390625e-05,7.763999999999997,0.011587966233491898,0.0007,15,-0.09803198277950287,0.5518795847892761,,
13.02,1699,1700,8500,534,-6.198883056640625e-05,7.764999999999997,-0.3512558043003082,0.0007,15,-0.14727914333343506,560.9771728515625,,
13.04,1799,1800,9000,536,-0.002095818519592285,7.780999999999997,0.8236546516418457,0.0007,16,-0.07908788323402405,0.3254067599773407,,
13.07,1899,1900,9500,536,-8.785724639892578e-05,7.791999999999997,0.003994268830865622,0.0007,17,-0.04668929800391197,0.4079643189907074,,
,1999,,10000,,-4.220008850097656e-05,,-0.18056276440620422,0.0007,,-0.05590822547674179,976.6608276367188,7.8,13.0
13.05,,2000,10000,535,,7.791999999999997,,,18,,,,
13.02,2099,2100,10500,530,-0.0001697540283203125,7.7899999999999965,0.004411381669342518,0.0007,19,-0.0545378252863884,0.3253971338272095,,
13.0,2199,2200,11000,531,-4.398822784423828e-05,7.7899999999999965,-0.1779237985610962,0.0007,20,-0.03905648738145828,1421.0677490234375,,
13.01,2299,2300,11500,533,-0.0008726119995117188,7.790999999999997,0.003784438129514456,0.0007,21,-0.05320942401885986,0.25227731466293335,,
13.01,2399,2400,12000,527,0.0,7.787999999999998,0.0018173325806856155,0.0007,22,-0.030991220846772194,0.2175256758928299,,
13.01,2499,2500,12500,529,-0.00229799747467041,7.7879999999999985,0.002299914602190256,0.0007,23,-0.038946088403463364,0.18834158778190613,,
13.0,2599,2600,13000,529,-1.1920928955078125e-07,7.788999999999996,0.0018098941072821617,0.0007,24,-0.034446004778146744,0.15847483277320862,,
13.0,2699,2700,13500,533,-8.940696716308594e-06,7.792999999999996,-0.031472571194171906,0.0007,25,-0.027038807049393654,466.69830322265625,,
13.0,2799,2800,14000,536,1.1920928955078125e-07,7.795999999999997,0.0003274300252087414,0.0007,26,-0.00932910107076168,0.10853322595357895,,
13.0,2899,2900,14500,536,-9.298324584960938e-06,7.795999999999997,-0.01903662085533142,0.0007,27,-0.009135743603110313,1004.3748168945312,,
,2999,,15000,,-9.763240814208984e-05,,0.00020303491328377277,0.0007,,-0.007429568562656641,0.06816311180591583,7.8,13.0
13.0,,3000,15000,537,,7.797999999999997,,,27,,,,
13.0,3099,3100,15500,538,-1.1086463928222656e-05,7.799999999999996,-0.021215500310063362,0.0007,28,-0.0065701925195753574,1616.673095703125,,
13.0,3199,3200,16000,535,-0.00018525123596191406,7.799999999999996,9.970960672944784e-05,0.0007,29,-0.005129565484821796,0.037148285657167435,,
13.0,3299,3300,16500,535,-1.4066696166992188e-05,7.797999999999997,-0.009276388213038445,0.0007,30,-0.002317868871614337,2302.081298828125,,
13.0,3399,3400,17000,536,-0.0006449222564697266,7.797999999999997,2.5726179956109263e-05,0.0007,31,-0.0022399236913770437,0.016008218750357628,,
13.0,3499,3500,17500,534,0.0,7.799999999999996,-0.011023678816854954,0.0007,32,-0.0020289155654609203,3074.5498046875,,
13.0,3599,3600,18000,536,-0.0029746294021606445,7.799999999999996,1.144355337601155e-05,0.0007,33,-0.0020894124172627926,0.0036071245558559895,,
13.0,3699,3700,18500,538,5.960464477539063e-08,7.799999999999996,7.614201422256883e-06,0.0007,34,-0.0018725537229329348,0.002113377209752798,,
13.0,3799,3800,19000,531,-0.010669827461242676,7.799999999999996,8.514760338584892e-06,0.0007,35,-0.00208031153306365,0.001975347986444831,,
13.0,3899,3900,19500,529,-1.1920928955078125e-07,7.799999999999996,6.786524409108097e-06,0.0007,36,-0.001819597790017724,0.0017847835551947355,,
,3999,,20000,,-3.6954879760742188e-06,,-0.001963772112503648,0.0007,,-0.0019627693109214306,676.3637084960938,7.8,13.0
13.0,,4000,20000,526,,7.799999999999996,,,37,,,,
13.0,4099,4100,20500,523,0.0,7.799999999999996,6.46710759610869e-06,0.0007,39,-0.0017381565412506461,0.0017878953367471695,,
13.0,4199,4200,21000,522,-4.649162292480469e-06,7.799999999999996,-0.0035777154844254255,0.0007,40,-0.0017863375833258033,1338.717041015625,,
13.0,4299,4300,21500,520,-0.0002338886260986328,7.797999999999997,2.809658781188773e-06,0.0007,41,-0.0008092058706097305,0.0018917841371148825,,
13.0,4399,4400,22000,518,-5.9604644775390625e-06,7.797999999999997,-0.0023809182457625866,0.0007,42,-0.0008587700431235135,1986.892333984375,,
13.0,4499,4500,22500,518,-0.0004162788391113281,7.799999999999996,2.8122690309828613e-06,0.0007,43,-0.0008162480662576854,0.0018328779842704535,,
13.0,4599,4600,23000,518,-8.344650268554688e-06,7.799999999999996,-0.0031445049680769444,0.0007,44,-0.0008271100814454257,2622.22216796875,,
13.0,4699,4700,23500,519,-0.0011260509490966797,7.799999999999996,2.8817207748943474e-06,0.0007,45,-0.000826515257358551,0.0018496366683393717,,
13.0,4799,4800,24000,519,5.960464477539063e-08,7.799999999999996,-0.003866777988150716,0.0007,46,-0.0007776749553158879,3243.99267578125,,
13.0,4899,4900,24500,521,-0.0028895139694213867,7.799999999999996,2.9542622996814316e-06,0.0007,47,-0.0008388956193812191,0.001872955122962594,,
,4999,,25000,,1.1920928955078125e-07,,2.5276312953792512e-06,0.0007,,-0.0007619456155225635,0.0017481030663475394,7.8,13.0
13.0,,5000,25000,520,,7.799999999999996,,,48,,,,
13.0,5099,5100,25500,522,-0.0073403120040893555,7.799999999999996,3.0610838166467147e-06,0.0007,48,-0.0008510186453349888,0.0018981961766257882,,
